Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Success_rate_1st,Success_rate_2nd,Grade_improvement,Target_encoded
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.4,1.74,0.0,0.0,0.0,0
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,6,6,6,13.666666666666666,13.9,-0.3,0.79,1.0,1.0,-0.3333333333333339,2
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,6,0,0,0.0,10.8,1.4,1.74,0.0,0.0,0.0,0
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,6,10,5,12.4,9.4,-0.8,-3.12,1.0,0.8333333333333334,-1.0285714285714285,2
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,6,6,6,13.0,13.9,-0.3,0.79,0.8333333333333334,1.0,0.6666666666666661,2
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,5,17,5,11.5,16.2,0.3,-0.92,1.0,1.0,-0.35714285714285765,2
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,8,8,8,14.345,15.5,2.8,-4.06,1.0,1.0,1.045,2
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,5,5,0,0.0,15.5,2.8,-4.06,0.0,0.0,0.0,0
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,6,7,6,14.142857142857142,16.2,0.3,-0.92,1.0,1.0,0.26785714285714235,2
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,6,14,2,13.5,8.9,1.4,3.51,0.8333333333333334,0.3333333333333333,2.0999999999999996,0
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,6,7,5,14.2,13.9,-0.3,0.79,1.0,0.8333333333333334,1.8666666666666654,2
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,8,8,7,13.214285714285714,12.7,3.7,-1.7,0.875,0.875,0.0,2
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,6,0,0,0.0,12.7,3.7,-1.7,0.0,0.0,0.0,0
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,6,8,5,11.0,8.9,1.4,3.51,1.0,0.8333333333333334,0.4285714285714288,2
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,5,5,5,12.0,10.8,1.4,1.74,0.8,1.0,-1.25,2
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,6,7,0,0.0,15.5,2.8,-4.06,0.8333333333333334,0.0,-13.2,0
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,6,14,2,11.0,10.8,1.4,1.74,0.16666666666666666,0.3333333333333333,-1.0,1
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,8,8,8,14.545,15.5,2.8,-4.06,1.0,1.0,1.2387499999999996,2
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,0,5,8,4,12.25,10.8,1.4,1.74,0.8,0.8,-0.25,2
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,7,8,6,13.5,16.2,0.3,-0.92,0.8571428571428571,0.8571428571428571,1.833333333333334,1
